#MZ SEK INT
563.2759 598 0.7264
597.7746 598 0.2652
604.9967 598 0.0929
627.7710 598 0.4156
717.0290 598 0.0466
726.9121 598 0.4534
728.3670 598 0.7704
806.3538 598 0.0000
813.5193 598 0.0770
891.4717 598 0.1597
906.9914 598 0.0929
944.5299 598 0.0000
1075.0399 598 0.0466
1194.5419 598 0.2652
251.2006 600 0.0796
257.2475 600 0.0004
265.2162 600 0.6027
282.1416 600 0.9126
364.6871 600 0.3710
363.9597 600 0.8130
407.2633 600 0.0199
476.3634 600 0.0011
485.9138 600 0.3710
484.9438 600 0.8130
531.4772 600 0.2826
563.2759 600 0.9126
597.7746 600 0.0937
604.9967 600 0.0189
627.7710 600 0.1697
717.0290 600 0.1406
728.3670 600 0.3710
726.9121 600 0.8130
813.5193 600 0.0199
891.4717 600 0.0504
906.9914 600 0.0189
944.5299 600 0.0004
1075.0399 600 0.1406
