scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
0,2,2192893,874.37396,0.0029,1747.88967,1746.73446,1746.73446,0.0212,100,2192893,1160874,,0.02583
0,3,2034246,535.27311,0.0601,1602.85903,1601.79625,1601.79625,0.0102,100,1221532,171949,1,0.70113
0,2,2004977,726.31331,0.0255,1448.60226,1447.63511,1447.63511,0.0161,100,2004977,943103,,0.14536
0,1,1984093,463.10558,0.0018,462.38531,462.09888,462.09888,0.0081,100,1984093,346947,,0.63502
0,2,1915404,921.41056,0.0044,1842.01935,1840.80766,1841.81054,0.0224,100,1915404,763882,1,0.28297
0,1,1889314,800.43383,0.0095,799.92019,799.4271,799.4271,0.0177,17.26,1889314,594379,,0.78613
0,2,1840163,555.72213,0.0248,1110.1057,1109.43081,1109.43081,0.0106,100,1840163,691714,,0.59771
0,2,1766530,687.85509,0.0508,1374.62124,1373.69672,1373.69672,0.0145,100,1766530,710711,,0.28437
0,2,1726575,695.35878,0.0374,1389.64018,1388.7041,1388.7041,0.0153,100,1726575,503999,,0.42697
0,3,1646423,745.05996,0.0066,2232.60395,2231.1568,2232.15971,0.0165,100,1348174,1173372,,0.25343
0,2,1632394,401.25714,0.0021,800.99407,800.50083,800.50083,0.0064,100,1632394,127761,,0.8188
0,2,1549066,473.26109,0.014,945.08649,944.50874,944.50874,0.0084,22.2,1549066,201975,,0.57675
0,3,1479200,400.23966,0.0027,1198.42773,1197.69879,1197.69879,0.0064,100,1479200,343599,,0.75666
0,2,1434917,657.36131,0.0028,1313.50553,1312.70917,1312.70917,0.0137,100,1434917,490595,,0.5373
0,3,1430142,643.00892,0.0027,1926.271,1925.00367,1926.00656,0.0135,100,1350093,802245,,0.27912
0,3,1392579,543.59879,0.0102,1627.85118,1626.77329,1626.77329,0.0104,100,1326060,553206,,0.50246
0,2,1391033,437.23216,0.0276,872.98628,872.45086,872.45086,0.0075,100,1391033,0,,0.54243
0,2,1383436,383.21941,0.0277,764.89083,764.42535,764.42535,0.0061,15.03,1383436,192091,,0.10194
0,3,1352195,564.63306,0.0654,1691.99582,1690.87899,1690.87899,0.0109,100,1352195,606203,,0.37343
0,2,1322415,534.31388,0.2633,1066.2642,1065.61812,1065.61812,0.0102,100,1322415,1369122,,0.64452
0,2,1317141,555.77574,0.0188,1110.21291,1109.53802,1109.53802,0.011,100,1317141,241661,,0.70721
0,2,1313928,593.84244,0.0466,1186.39702,1185.67143,1185.67143,0.0113,8.72,1313928,645692,,0.47833
0,2,1282881,499.78089,0.0459,998.15267,997.54832,997.54832,0.01,100,1282881,336449,1,0.6691
0,2,1278269,551.78119,5.6955E-04,1102.22107,1101.54892,1101.54892,0.0104,6.91,1278269,752048,,0.44504
0,2,1266422,722.37039,0.2184,1443.69372,1442.72732,1442.72732,0.0156,19.62,1266422,590654,,0.54251
0,2,1253570,621.27024,0.0215,1241.28308,1240.52702,1240.52702,0.0124,100,1253570,315122,,0.13694
0,5,1235299,447.63863,0.0429,2234.60679,2233.15949,2234.16241,0.0076,100,1235299,290430,1,0.69665
0,2,1212785,798.88861,0.0994,1596.82549,1595.76377,1595.76377,0.0204,100,1212785,339566,1,0.82724
0,2,1201446,405.7392,0.0137,809.95953,809.46494,809.46494,0.0067,100,1201446,175666,,0.26481
0,2,1196294,416.74059,0.0481,831.9748,831.46774,831.46774,0.0069,3.8,1196294,328209,,0.45824
0,2,1195449,489.27396,0.033,977.12634,976.53446,976.53446,0.0091,26.46,1195449,198266,,0.79705
0,2,1181234,602.83026,0.0098,1204.38621,1203.64707,1203.64707,0.0116,100,1181234,302201,,0.4828
0,1,1179104,777.41385,0.033,776.88371,776.40712,776.40712,0.0173,12.25,1179104,0,,0.57922
0,2,1174303,670.82166,0.0302,1340.53842,1339.62987,1339.62987,0.0143,100,1174303,583835,,0.4036
0,2,1163503,708.33742,0.0087,1415.61273,1414.66139,1414.66139,0.0155,100,1163503,316297,,0.24274
0,2,1155618,1100.45845,0.0228,2199.33123,2197.90056,2198.90345,0.0291,100,1105245,737564,,0
0,3,1148634,1151.47673,0.028,3451.59305,3449.4045,3451.41001,0.0324,100,603535,1148634,,0
0,2,1137245,670.82166,0.0096,1337.50079,1336.60198,1336.60198,0.0143,100,1137245,335425,,0.45484
0,2,1133660,599.85578,0.0213,1198.42704,1197.6981,1197.6981,0.0119,100,1133660,270720,,0.46748
0,2,1122121,363.2368,0.0167,724.90116,724.46016,724.46016,0.0057,100,1122121,0,,0.41886
0,2,1114186,712.36585,0.0478,1423.6708,1422.71825,1422.71825,0.0149,6.14,1114186,593138,1,0.55786
0,3,1113301,329.19753,0.062,985.1748,984.57241,984.57241,0.0049,100,1113301,360865,,0.12817
0,2,1104020,408.76243,0.01,816.00692,815.51142,815.51142,0.0065,100,1104020,214008,,0.60494
0,2,1066889,738.82484,0.0756,1476.62823,1475.63622,1475.63622,0.0176,42.93,1066889,291571,,0.43236
0,2,1066208,445.7311,0.0036,889.99603,889.44874,889.44874,0.0078,100,1066208,125481,,0.63983
0,3,1062193,594.29354,0.1001,1781.03351,1779.86045,1779.86045,0.0122,100,1062193,535963,,0.63923
0,3,1061194,956.06789,0.0169,2866.01205,2864.18058,2865.18348,0.0247,100,756381,812693,,0.04046
0,2,1053278,464.24647,0.025,927.04166,926.47949,926.47949,0.0081,16.5,1053278,0,,0.59471
0,2,1047467,539.26531,0.0251,1077.1742,1076.51716,1076.51716,0.0098,7.18,1047467,179046,,0.61558
0,2,1045469,849.88456,0.0034,1697.87271,1696.75278,1696.75278,0.0203,100,993805,572350,,0
0,3,1033580,639.34063,0.0383,1912.26752,1911.01518,1912.01809,0.0132,100,740832,429915,,0.28855
0,3,1032689,447.55049,0.0727,1340.53984,1339.63128,1339.63128,0.0079,100,1032689,294928,,0.7472
